公共牌1,公共牌2,公共牌3,公共牌4,公共牌5,筹码池,AI手牌1,AI手牌2,对手手牌1,对手手牌2,AI对局结果
KH,KS,TD,KC,6C,233,8S,4S,7D,5C,1
QS,4D,4H,QH,JD,163,AS,AH,7D,6H,1
2S,3C,AD,8S,JD,232,7C,6D,3S,KH,0
JS,8D,6D,QD,3H,349,TS,TD,AD,4C,1
2S,JS,9D,6S,5S,113,2H,5H,4H,JH,1
JC,8S,6H,3C,4S,423,JS,3H,9C,QD,1
8S,9D,5S,3H,6S,64,JC,6H,6D,JH,0
9H,KC,9C,TH,7H,180,7S,4D,TD,AS,0
3C,8C,6S,7C,TS,373,9S,TH,AH,QS,1
2C,7C,8S,9S,9D,292,QC,5D,7D,AS,0
QD,9H,TC,TS,TD,92,6D,5H,KH,3H,0
5S,7H,4S,JH,9C,156,TS,QD,8C,JC,0
3D,AS,4H,JC,TH,279,QH,6D,KC,9D,0
JS,2H,2S,8C,7H,155,TH,5D,AH,7S,0
4S,9S,9C,7D,6H,495,AC,9D,AH,KS,1
3H,2D,QC,TS,5C,439,AC,4C,9H,2S,1
4S,QD,4D,AD,6H,202,8D,2C,TD,3S,0
6D,AD,3H,7H,JH,137,JS,TD,2H,TS,1
TC,9S,7D,QD,4C,129,5C,QS,AS,JS,1
JS,KD,9C,2C,QS,221,7H,QC,7S,6D,1
6H,8D,9H,KS,5H,168,7D,9S,3C,KH,1
7S,8D,3D,2H,QC,288,JC,8H,3S,TC,1
2C,JC,8C,7C,8S,315,KH,5H,7S,8H,0
9S,TH,QC,7C,3S,438,AD,QS,3D,7S,0
AH,2C,KH,6S,QS,345,4H,TS,KD,AC,0
6H,4C,JD,2C,3D,463,9H,5C,7C,TC,1
2C,TS,7S,2S,6H,31,8C,7C,JH,QH,1
6D,QC,TS,8C,5S,440,4S,5D,6H,AS,0
AC,4C,QS,7H,QD,298,6H,4S,9S,8H,1
TH,3S,7C,AH,6C,362,5S,8H,QD,AD,0
JS,9C,2C,QS,4C,500,7H,4D,3S,9S,0
5D,5C,4H,QC,TS,393,3C,JS,AC,8S,0
8S,7S,TC,9H,QH,381,4D,QD,2S,8C,1
8C,2H,9C,5C,3S,476,QS,5S,7C,6S,0
TD,6H,5C,2C,KH,178,2H,7C,3D,TH,0
KH,TC,9D,4D,TH,152,2S,3S,6S,8S,0
9S,5S,AS,KH,9H,54,AD,JS,TS,2C,1
AS,QH,4D,3H,4C,103,9H,KC,2H,AD,0
9C,8H,6D,5H,7S,387,2D,9S,2S,3H,0
3C,2S,3D,3H,9H,418,QD,9C,TS,4D,1
TC,6H,TH,4D,9H,291,JS,4S,KS,3H,1
KC,4H,TD,JS,QC,36,QS,5H,9H,AH,0
KC,6C,KS,3S,2S,225,TS,9H,TH,AS,0
7S,4H,QS,5H,5D,200,5C,8D,AC,4S,1
8S,QC,JH,5D,KD,357,TC,TD,9D,9C,1
TC,8S,2H,TS,3D,297,JC,JS,8C,9D,1
3S,2H,5S,KH,8C,167,4C,KS,JC,KD,0
2D,4D,TC,7D,9D,173,5C,5D,QH,9C,1
JH,6D,5D,6C,3S,416,4S,QS,5S,3D,0
6C,KS,4C,TC,5C,435,9H,KD,JH,6S,1
8D,KS,2C,4S,4D,352,TS,9S,2H,8S,0
TD,8H,4C,TH,AC,484,5S,7S,KD,9S,0
8S,4D,QH,5C,3D,324,JH,6D,TS,6S,1
3S,7S,AD,4C,6C,291,9D,3H,KS,9H,1
2C,6C,7H,7S,8C,153,KH,TS,KS,9H,1
9H,JS,2C,6H,8C,299,TS,4C,2S,7C,0
2C,TC,KD,7D,AS,295,KS,8D,3C,QH,1
3D,6S,2S,7D,QH,93,JD,8S,3S,QC,0
8D,QC,2H,TD,6H,212,5H,KD,AH,3D,0
QH,KC,6C,TH,KH,109,8D,3C,6S,2H,0
AC,5H,AS,QS,4D,25,JC,KD,4S,JD,0
9D,QD,3C,5D,5H,262,AC,5C,TC,7D,1
3S,KD,3C,8S,7C,281,7S,7H,TS,JC,1
TC,2D,9H,2S,KD,29,4S,TH,JC,7D,1
8D,TC,6S,QH,AD,91,7H,6C,QS,5H,0
TH,5H,2S,8H,7S,496,9H,2H,6C,6D,1
6H,7S,6D,5S,2D,393,JC,7D,TS,3H,1
3H,QS,6H,9D,5S,485,4D,6D,TC,8H,1
8D,5S,9S,7H,4D,433,AS,9D,4C,TD,1
QS,TD,2H,TS,QC,39,QH,5C,3D,8D,1
6H,AD,KD,9C,5S,164,7H,AC,2D,6S,1
7S,8D,2S,2D,5H,443,2H,AS,7C,TD,1
6C,5D,5C,3C,KD,137,9D,AC,7C,3H,0
KH,3S,4C,KC,AH,376,QH,JC,4S,7S,0
5H,2D,7C,3H,8D,441,7S,9D,2H,8H,0
8C,AC,5H,5D,AH,328,2C,5C,4H,TD,1
7C,TH,6D,KH,5D,141,JC,3D,AD,2S,0
KC,JC,5C,8D,7D,180,6C,QH,JS,4C,0
3D,3S,QD,6D,6H,371,8H,5S,KS,JC,0
2C,8C,TC,7S,2D,406,KC,3D,7C,3H,0
AD,2S,6H,6D,QD,146,QC,5D,5H,3H,1
6H,9S,2C,KD,8C,140,3C,6C,8D,9C,0
7D,2H,KC,JD,5C,336,4H,2D,KS,8C,0
2C,AH,4S,AC,5H,138,6S,8H,6D,4C,0
8D,5H,7D,JS,8S,105,2S,3H,TD,TC,0
5C,9C,4H,5S,KS,371,3S,6C,2D,2S,0
QD,KC,9D,3D,KS,320,2D,JS,4S,4H,0
QS,AH,9D,2C,TC,359,TH,6D,QH,7D,0
AS,KH,7D,TH,QH,134,2C,3C,4H,8D,0
JH,JC,3S,TS,2D,349,9H,AH,AD,4C,1
9D,AD,5C,4H,7H,319,4C,5S,8H,AC,1
KH,QS,5C,7H,8C,85,JH,7D,6S,QD,0
3D,3H,AD,5D,3C,278,KC,QC,QH,JD,1
5S,3S,TC,4H,JS,208,2C,8D,KH,7C,0
6H,4S,6S,KC,TC,368,4H,3D,3C,2D,1
KC,7C,3H,TS,6C,75,6D,2S,AH,8D,1
3C,2C,7D,TS,7S,257,KH,7C,5C,QC,1
6C,QC,2D,KH,QD,194,JD,TH,3C,9C,1
4D,4S,JD,KS,3H,122,TC,QD,2C,6D,1
3H,6D,TS,6S,KD,69,8C,QC,5C,8D,1
TH,QH,5C,KC,9S,306,4D,KD,4C,JD,0
TC,4C,5H,3S,2D,250,5S,8H,JS,KC,1
9S,2D,6D,6S,5H,379,TC,7S,9C,KH,0
7D,8C,KH,5C,4D,66,3D,9C,JS,TC,0
6S,8S,6H,TS,TC,273,4S,5C,9C,KS,0
KD,JS,7S,8D,5C,391,8H,AD,5H,2D,1
AH,AS,8H,5S,QC,233,7D,4S,JH,QS,0
6D,8S,4H,4C,4S,338,7S,JC,QC,3S,0
8S,AD,2H,TD,7S,42,KH,7C,QC,3H,1
KD,3D,5H,7S,9C,233,3S,AD,7H,4C,0
JC,7H,2H,2C,KD,249,TS,3H,JD,4C,0
QH,4H,9H,JD,KS,120,7S,7H,KH,9S,0
6D,2S,TS,8C,AH,314,8H,7C,3C,7D,1
6C,QD,5S,6D,7C,365,5C,9S,JS,3H,1
6C,AC,5S,5D,AH,72,QH,9S,8H,TS,1
QS,7S,TD,KD,6H,498,AS,7C,2D,QH,0
JS,TD,KD,5S,8S,368,9S,KC,3C,7D,1
4S,7S,JS,KC,5H,155,5S,AS,4H,4D,1
4S,AC,5H,KS,6H,292,4H,8S,3S,TS,1
9D,KD,5C,JC,AS,351,6S,TS,4H,9H,0
TS,5H,9D,JD,5D,70,KS,8S,KH,JS,0
9H,KS,TS,QC,8C,475,TD,7H,AH,6D,1
JC,5S,6S,9S,QH,184,4S,KH,7S,4C,1
TS,2H,3D,9C,KC,309,8D,9H,9D,8C,0
9D,AD,JD,5S,6S,474,AS,7C,6D,4D,0
5H,JS,KC,8H,KS,327,AD,7S,8C,4S,0
AS,QS,7D,7S,8H,198,2S,8D,AC,9H,0
AH,TH,7S,7H,2D,377,6H,JD,6S,7C,0
4S,AD,8C,JH,QH,281,5C,2S,QC,7C,0
7D,3H,6D,2H,5S,441,5D,AC,9H,TH,1
2D,7C,2S,TC,TD,333,5H,3D,QH,4S,0
7D,8H,2H,QS,JH,346,TS,3H,KH,3C,0
9S,8S,4S,5C,JC,429,2H,4H,3S,JH,0
KS,2H,9S,6H,QH,181,3D,TC,KD,TH,0
3S,KD,7C,5S,JH,307,8H,QC,7D,KC,0
JS,2D,KC,QC,KD,180,7S,6H,KH,3H,0
2S,KC,AH,4H,5H,311,3C,8S,8C,TS,1
8S,KC,3H,4D,JD,62,JC,5H,3S,JH,0
9C,3C,TH,6D,7C,302,7H,2C,QS,3D,1
KS,JC,2H,6C,KH,315,8S,TH,AD,5D,0
4D,4H,AC,QC,AS,88,8S,5D,7H,KD,0
8H,AC,7H,8D,6C,264,QS,JD,KD,QC,0
6C,2D,QD,3S,8C,394,6D,2H,7S,TC,1
9H,QH,3H,9D,7S,173,TC,KC,8C,2C,1
KH,5H,TD,7D,4H,491,3H,7C,QC,JS,1
TD,2D,JS,TH,5C,484,QD,9C,2S,7H,0
4H,3D,9D,TC,5H,437,9C,7S,7H,3S,1
QS,6C,KD,JC,6D,484,8C,9D,AS,7H,0
5C,2S,3S,KH,7C,454,JC,QS,JS,8C,1
8D,9S,TD,9D,7D,70,3H,4C,7C,AD,0
7S,3S,TS,QH,KS,29,5D,2S,4D,2H,1
AD,TD,5S,8D,9S,398,QS,5C,3D,4S,1
TH,6C,4C,KC,7S,467,TD,KD,9D,2S,1
QC,7C,9C,AC,2S,71,AD,QH,JS,4S,1
7C,2C,8C,TD,5D,468,JC,5H,3S,KS,1
2D,5C,6D,TH,3C,289,KS,AS,9H,QS,1
2H,4C,9D,QD,AS,330,QH,KC,7C,2S,1
9C,TH,5C,9S,TS,341,2D,2H,QD,3D,0
9S,AD,JD,5H,3H,10,KD,8S,KH,8H,0
8H,4D,7D,5C,6S,53,3C,8S,2H,JH,0
5C,9S,5D,3C,3S,295,2S,AC,8C,7S,1
QS,6C,4S,2D,2C,484,QC,7C,AS,8S,1
TD,KD,4C,4D,TC,281,6D,2S,6C,JS,0
5C,5S,2H,TS,QH,386,9H,2C,9C,3C,1
8D,AD,5H,8C,7H,74,JH,2C,7S,AC,0
AH,2H,AS,8H,2C,70,QD,4S,7D,4C,1
QH,JH,6S,7C,4C,198,4H,QD,5H,2D,1
7H,5H,9H,3S,7C,364,JS,TD,6S,6C,0
QC,4H,JH,KH,9C,23,2D,TD,9S,AC,1
KH,4H,JD,5S,9C,486,3D,JS,3C,QD,1
KS,2H,4D,3D,2D,274,QH,4S,KC,4C,0
7S,KH,3D,8H,7D,403,JH,6C,AD,9H,0
QD,TD,JS,5H,2C,297,2H,2D,AH,4D,1
4S,AC,3H,9D,AS,407,JD,TC,9S,3S,0
7C,AD,9H,9D,8S,481,QH,6H,QS,QC,0
4C,4S,5H,AS,KC,338,8D,6C,6D,8H,0
6S,JD,3S,TS,2D,101,4H,9C,AH,KD,0
AC,2H,5H,6S,8C,420,9D,4C,KD,AH,0
9C,JH,JS,8D,8C,76,AS,QS,6C,TS,1
4S,8S,TC,7D,5D,264,7H,4H,4D,QH,1
5D,TH,JC,KS,KH,413,QH,2H,9H,6C,1
AS,5H,JD,7D,6C,410,5S,8D,7C,QC,0
5D,QC,JD,KC,2C,120,JS,AC,2S,6H,1
4S,2S,QD,6S,8C,365,2C,8H,JD,JC,1
5C,KS,AS,JD,3C,468,TH,2C,JH,KD,0
AC,7D,2D,JH,KS,250,8H,6D,5D,7H,0
9C,QC,QD,2C,4C,55,QS,TD,9H,JH,1
8S,2D,KC,8H,3H,344,3D,AC,TH,3S,1
AC,5C,5H,7H,3D,403,JH,3C,6H,QH,1
3C,5S,JS,QD,AS,45,4H,7S,8S,KH,0
5D,5H,9S,9C,KC,326,5C,4S,JH,7H,1
7S,AC,AH,4S,2H,296,QS,KS,5D,QH,1
7D,QD,3C,TS,JD,328,9H,TH,6D,2D,0
QD,AH,7D,AS,AC,410,JD,KD,2S,6H,1
AD,9D,KC,7C,QD,387,9C,8C,3D,QC,0
2C,JS,AH,3S,5D,295,7S,3C,4S,QH,0
JC,2S,TS,5S,JD,322,8S,9S,6S,6D,1
TH,3S,6S,9H,8D,293,AD,2H,KC,5H,1
9S,2D,7C,KC,4H,468,2H,7H,QD,6D,1
2D,KH,9S,3D,4S,226,9C,TS,TH,7S,1
QS,9S,QD,JD,AH,174,AD,AC,6H,5D,1
2S,QS,JC,TS,7H,137,JH,AD,9C,8C,0
5D,8H,9H,4S,3C,10,KC,9S,7D,JS,1
4D,6S,JC,5D,AC,394,8C,7S,9D,6H,1
9H,QC,6D,JD,JC,423,3C,TS,4S,QH,0
7S,9S,5H,4H,3D,21,2C,AD,QD,AS,1
8H,AH,6D,TH,3D,367,4D,7S,9D,JH,0
9C,4C,2C,TC,6C,155,5D,AC,4D,TD,1
KH,2S,JS,QD,4D,44,5C,QS,6H,3D,1
KD,JC,4S,6C,7S,49,AH,AC,3H,5D,0
8H,8D,AD,QD,3D,382,4D,5C,2H,AC,1
8D,2D,4C,3C,9D,383,8H,KD,TD,QC,1
JC,KH,KC,TH,7H,285,2C,QD,QC,8C,0
KC,KS,QC,6D,3H,318,JS,6S,QD,AD,0
KC,8H,QH,TH,KS,111,TD,JH,3H,3C,1
5S,TC,9C,3H,3D,410,JD,8C,AC,7D,0
JC,3D,4S,KS,7H,127,QD,7D,TC,9D,1
7S,6S,KC,4S,5H,438,6D,4C,4D,9C,1
9H,6S,9C,7H,6H,394,5D,TD,9S,8S,0
AD,6H,JD,JC,KH,230,7S,QS,5D,TD,1
AC,8D,AS,7S,7C,213,JC,QH,6S,KH,0
2H,5C,2C,KC,8S,83,KD,JC,JS,4S,1
JH,5H,6H,AD,5S,379,JC,KC,9S,TC,1
JD,QS,QD,4H,KH,208,9S,2S,5H,JC,0
AH,6C,5C,7S,8H,75,9S,QC,JC,2S,1
TH,JS,4H,6S,3C,293,8C,7D,JD,6C,0
2D,8H,KS,AH,9D,80,3H,2H,9C,KH,0
3D,TH,4H,2S,2D,440,AD,AC,AS,KD,1
QS,QH,5H,2S,8H,257,6S,AC,2H,7D,0
6S,7C,4D,3S,3H,473,TS,KC,2D,AD,0
JS,5H,9S,7C,QS,139,9C,9H,7H,4D,1
AH,7S,TH,4C,5S,300,QC,2C,6H,JC,1
9H,2S,AH,JD,5C,457,QH,KS,9C,8C,0
QD,2H,3S,TD,KS,421,9D,7C,6H,6D,0
3C,2S,2H,QH,4S,279,KC,7S,AC,QD,0
JS,5D,2S,2H,9H,481,9S,6H,JD,9C,0
6D,4H,8S,KS,JC,382,TD,2D,KC,QC,0
2D,AS,5D,2H,4H,255,KH,QH,5H,6H,0
3C,KD,4C,8S,2S,445,6D,4S,7C,4H,0
9S,QS,7D,4S,TC,383,8S,JD,5S,AD,1
JD,5S,TH,JH,2C,452,QC,3H,TD,TC,0
3C,5C,8C,JS,7D,261,2C,4C,6S,5S,1
7D,7C,5C,4S,4C,462,6C,2S,TD,KS,0
QC,6H,7S,9S,5C,21,KS,TD,8C,JH,0
7H,6S,5H,QC,TD,391,3C,3H,2S,TS,0
AH,6D,8S,8D,TS,84,5S,6C,JD,3S,1
6S,AS,5H,6H,KC,204,8S,4S,7H,QC,0
9C,KC,4H,3D,2S,456,4C,AH,TS,AC,1
9D,TH,5S,TD,KC,392,7S,6S,JD,8S,0
4C,9H,5S,TC,JH,297,AH,3D,2D,KC,1
TH,3C,6S,JH,TS,425,6C,8C,AD,KH,1
2C,JD,AC,7S,9H,395,QD,9C,6H,QS,1
KD,9D,2H,AS,4H,60,2C,8H,9C,8S,0
7D,JH,8S,KH,9H,384,AH,AD,2D,KD,1
AS,6H,7S,2H,QC,473,7C,JD,QD,KD,0
8D,AH,7S,QS,8H,76,KC,6S,8S,5D,0
QC,JS,KH,9C,KC,473,6C,TD,3H,9H,1
9D,JH,KH,7D,6H,228,QD,JD,5H,7S,1
QC,2S,6D,3H,2D,63,8D,9H,AS,KS,0
5H,JH,8S,KS,7H,260,3S,2C,5D,9S,0
6C,AS,QH,6S,3C,109,KC,TD,JD,8S,1
9D,6S,7D,3S,2S,187,AH,KS,QD,5D,1
JC,TS,JH,3H,5S,101,5H,8H,6S,8D,1
8S,5H,TH,TC,5C,436,7H,QD,QH,8C,0
2S,4D,TC,3C,8C,219,8S,AD,7C,QD,1
JS,4D,2D,QH,8S,372,5D,8H,3H,QC,0
4C,KD,4S,6S,JC,80,8C,AD,TD,2D,1
2D,7H,3H,QS,2C,468,6C,KH,QH,9D,0
QC,3S,4H,4C,JS,444,8S,JC,6H,6D,1
3H,9S,TD,8S,AC,355,2C,3C,8H,2S,0
TD,AH,AC,4H,AD,229,TS,4C,4D,2S,1
TC,AD,7C,QS,7S,89,KS,5S,2C,JC,1
7D,AS,JS,8H,JD,448,3D,3H,7H,7S,0
3S,2H,9S,2C,9H,248,5H,TC,JH,JS,0
TC,7S,TS,3S,9D,393,2H,KC,QS,AD,0
QC,9C,6D,8S,3H,313,TH,4C,9D,8C,0
AC,QC,TC,3C,KD,333,TH,8C,2C,6D,1
6H,4S,3S,7H,JC,36,AD,TH,4D,QS,0
4C,8H,5C,AH,QS,424,2H,5D,9D,7S,1
AD,4D,4H,3D,2D,187,QH,7D,TD,4S,1
3H,2H,JH,5C,3C,311,7C,3S,KD,2D,1
QC,6H,4H,JC,8C,380,4C,TC,KD,AC,1
8D,4S,6D,5S,QD,76,AS,5D,KS,7C,0
KD,QH,QD,5H,AC,360,TS,6S,TH,8D,0
4D,9H,5D,JS,TD,78,AH,QH,6S,8D,1
6H,8H,JS,5H,7S,390,AS,9D,3D,9S,0
8D,QH,2D,TD,AC,102,AD,KS,KC,5D,1
KC,JS,4C,4S,6D,14,QS,5H,9S,8H,1
7H,7D,5D,JS,2C,265,6D,8H,8D,KH,0
7H,8C,AC,QS,7S,50,9H,AH,JD,TS,1
9H,9S,9D,TH,4D,402,7H,TC,KC,2S,1
4C,JH,7S,6D,8D,121,TD,7H,2S,8H,0
KD,3H,JH,5D,AS,198,2S,7D,8S,4H,0
9D,4D,8C,5S,2S,210,TD,8D,7S,5C,1
8S,4C,3D,6D,4H,116,3S,5C,TH,9S,1
8D,AD,QH,9S,8S,458,4D,6S,8H,2D,0
TC,8D,5S,4H,JH,478,AC,9C,TD,5C,0
4S,2H,3S,5D,7S,17,6D,AC,QH,8C,1
AS,4S,9S,9D,3H,272,7D,QD,5C,KH,0
AH,TS,3D,JC,JH,490,4C,JD,2H,8H,1
JC,8D,TH,KH,4D,346,2C,QS,3H,2H,1
7H,QH,AS,4D,2S,162,AC,2D,9S,3S,1
QS,5C,7D,3S,7H,436,9S,8H,KC,TC,0
4S,3C,9H,7D,3S,378,2S,JD,KH,7C,0
5S,4D,9S,QC,AD,359,3D,KH,TH,6D,1
2C,9H,AC,8D,8C,38,TS,3S,4C,JH,0
KC,4S,JD,6H,5D,133,AS,QC,TD,QH,1
9C,KC,5H,3S,TC,190,KD,AS,QD,KH,1
4C,8C,3S,QC,3H,240,8H,4H,TD,2D,1
KC,8D,QS,6S,2S,27,9C,2D,JD,5H,1
3H,TH,5H,8C,2H,196,4H,2C,JH,TD,0
TC,5D,9D,3S,5C,347,2D,TS,5S,JH,0
JD,AC,7C,4S,7D,425,9C,KD,QH,5H,1
TH,KH,7S,7D,8C,119,8D,JD,3H,3D,1
JS,2H,8H,KD,4S,151,9H,7C,JH,QS,0
3S,8C,TD,6H,3H,98,8S,5C,3D,TH,0
3D,8D,2D,6D,7D,57,AS,JS,5D,7H,1
KS,3D,2S,AS,4D,63,9D,TD,8H,5D,0
JC,QD,5C,3H,5S,139,4D,JD,4H,8H,1
8H,2S,3S,3H,4S,462,5H,7D,7S,AD,0
4C,3D,5C,JD,7D,248,4D,5H,3S,9D,1
TH,4H,8C,4C,KH,233,2S,9H,KS,5C,0
QH,2H,8S,AC,KC,388,6D,8C,5C,AS,0
KH,JC,4D,QC,8D,392,QD,9S,8H,9H,1
5D,6C,4S,9H,JD,84,KD,5S,9C,9D,0
4C,AD,8D,JH,7H,284,6S,8C,9C,JS,0
9D,2H,9C,4H,AS,350,KS,8D,8C,KC,0
6C,6S,2H,2D,5C,342,TS,JC,3H,KD,0
TD,QS,5S,5D,7C,461,JS,8D,9D,KC,0
7D,5H,KD,AS,TS,315,6D,TC,7S,AC,0
KH,TD,9H,6H,4D,212,AC,QC,AD,4H,0
KD,QD,9S,2D,4S,221,JC,5S,4C,8H,0
5D,7H,QC,AC,JH,435,3D,KC,9H,3S,1
AS,2H,8C,2S,8S,44,9H,AH,8D,6C,0
9H,JH,3D,6C,8H,322,5C,7D,QS,TS,0
AC,2C,8D,9H,8S,63,7D,TD,9C,QS,0
5C,8H,2H,KD,3S,135,QD,KC,QH,2S,1
4H,3D,AH,QH,8H,165,3C,KD,JH,JS,0
KC,2H,AS,3S,8D,386,JS,5D,KS,5S,0
4C,8D,KD,TD,TC,63,3H,2S,3D,4S,0
4C,8C,4D,9D,2D,114,2H,8D,KD,AH,1
AC,9H,2D,7S,2C,192,3S,4C,JH,8C,0
QS,TH,8H,KS,2S,67,3D,4S,7D,TC,0
QH,JS,QC,9S,TD,302,AS,7C,8D,4H,0
6C,3C,7H,7S,JD,229,8D,9S,AS,6S,0
6H,8D,4C,QS,JH,429,7D,3H,4S,KS,0
QS,2C,5C,2D,JH,224,7S,4C,7D,6H,0
6S,JD,2S,5C,3C,325,JC,2C,JS,5H,0
8H,7C,5C,2S,QD,422,4D,TD,9D,AH,0
TS,6S,2H,4H,7D,86,4C,TC,7S,2S,1
QC,4H,5C,AC,7H,87,2D,AD,TS,3S,1
KD,3S,7H,KS,2S,396,7D,6S,7S,4D,1
4D,JH,AC,3S,TD,126,5C,4S,9H,6H,1
KD,7S,QH,4D,TD,139,3H,2S,2H,TH,0
9S,JS,TH,KH,5C,404,JC,2C,3D,TS,1
TH,9D,7D,8H,2S,301,7C,AH,4C,5S,1
TS,4S,2D,KD,AS,384,KS,8S,QC,JD,1
5S,4D,AH,4H,KC,383,8S,7C,9H,TS,0
JS,KC,QS,3H,9S,378,AD,JH,6S,5C,1
TC,JC,7D,2S,5S,214,KD,4H,8C,KC,0
9H,AH,AC,JC,7S,179,4C,5H,QD,6S,0
3S,QD,KD,TS,JH,497,QH,7H,AC,8H,0
QH,6C,KH,2H,TH,320,5H,AD,TD,JH,1
2H,4D,TD,8C,JS,47,2S,7D,2D,QS,0
KS,9S,4S,8S,7H,303,9D,TC,TD,AD,1
3H,4D,2S,QC,3C,97,JS,8C,8H,5S,1
QC,2C,2H,4S,4H,195,AC,TH,9C,AS,0
JH,8H,AH,2H,TD,168,6S,KH,6D,TH,1
JC,9H,QD,6H,AD,111,3S,KD,TS,5C,1
JS,5S,QH,KD,9S,390,TC,TD,KH,8S,1
4H,QC,TS,3D,2H,26,4D,5H,TH,AC,0
JC,2H,JS,9C,QH,33,6D,7D,KH,5H,0
AC,3S,7C,QD,5H,289,KH,TC,4H,9S,1
JH,5H,9H,4D,8C,364,3H,2H,8H,QC,1
AS,6D,5D,TD,3D,275,6S,4H,7H,8D,0
KD,KH,3C,4C,AD,413,8H,9C,7H,6H,1
7C,2S,JS,TC,TS,144,2D,2C,QS,8H,1
JH,3S,7S,4C,TS,480,JC,6D,AC,9D,1
9S,KD,JC,6D,8C,364,3C,4H,4C,9C,0
9H,3H,2D,KH,AH,172,8D,AD,4D,5C,0
4D,QD,TS,5C,AD,44,QC,4S,9D,9S,1
6H,AS,TD,3C,KS,182,5C,AH,8H,KC,1
4D,KH,AS,7C,7D,469,JS,4C,QH,2C,1
4S,KH,8D,8H,5C,434,6S,6H,AH,5D,1
JH,5H,6S,6C,2C,380,AD,7D,JD,8S,0
5C,9S,4C,6S,KD,48,5D,JC,AD,AS,0
KH,5C,JH,3C,4H,24,5D,6C,4C,TD,1
8H,JH,3D,2D,2H,302,9S,8S,JD,5C,0
TS,9D,5C,9H,QH,301,AS,6D,7D,3D,1
KS,9C,8H,6H,KC,38,7H,3D,9S,AC,0
3S,8D,8C,8H,KD,455,9H,3C,TS,3D,0
8H,3S,9S,KH,4S,431,TH,JC,7C,QS,0
9C,QC,AD,JD,2H,276,8D,JH,KS,4H,1
KS,JS,6C,9C,AH,452,AS,7D,8C,5S,1
8D,AD,KC,7C,3C,493,2D,8H,9S,JC,1
3C,4C,JS,7C,9S,51,9D,JC,JD,9H,0
5D,QH,4S,QC,6C,361,KD,QS,TS,4H,1
7C,8S,QH,2D,QS,281,6S,2S,QC,2H,0
JC,QD,3S,4S,KH,96,3C,3D,7C,6C,1
5C,3D,6D,QC,9S,175,KD,JS,AD,QD,0
5H,QC,6C,KD,KC,351,AD,5D,QH,JH,0
TD,4S,8C,5D,4C,421,TS,7S,JC,QH,1
6H,5C,6D,4H,2C,430,5S,2H,JH,TC,1
8D,TH,TS,9S,3D,152,3C,AH,4D,JD,1
5S,QD,3H,6S,8C,493,8S,QS,JS,5D,1
JC,KD,3C,6S,7S,432,JH,5S,QS,3S,1
QC,5S,JC,8S,QS,309,4D,TC,5H,8H,0
QH,4H,QS,6H,5D,485,QD,AH,3C,5C,1
QC,KC,TH,4C,KH,170,2S,8D,3C,3H,0
2C,QH,KH,8H,JS,138,AD,8C,KC,7D,0
KS,JD,KH,8H,TC,85,5S,3H,8C,4S,0
4S,6S,3C,AD,7D,249,3D,TD,AH,4C,0
6S,3S,2C,QS,JS,282,TS,KC,7C,AD,1
6D,4D,AD,2H,6H,50,3C,2S,5S,8H,1
3C,5S,QS,AD,KS,250,8H,5H,6H,AS,0
2C,3D,QH,9C,9H,329,9D,JD,KS,AS,1
QC,8C,TC,6C,8S,460,AH,4C,7S,3S,1
AD,6C,4C,4S,5D,192,7D,9H,9S,2H,1
9D,4C,7H,AH,QC,498,KS,2S,7C,3D,0
9S,3S,5D,KD,QS,389,7D,3D,QH,TD,0
4D,QS,5S,3D,7D,447,QC,7S,5D,TS,1
6D,AC,KC,7S,5S,72,TH,QH,2H,JH,1
4C,2C,AS,AH,QH,197,5D,5H,8S,QC,0
3H,8H,2H,JH,QD,484,6H,7H,8S,2S,1
TS,8D,QH,4S,TH,171,QC,3S,5H,AH,1
JC,3C,6H,KD,7D,215,6S,QD,TC,2S,1
8S,9C,TH,8D,AC,116,3H,4S,6H,2S,0
QC,JD,7S,3C,6H,296,QH,8D,8C,5D,1
8S,9S,5H,5S,5D,79,QS,4H,8H,TS,0
JS,QD,QH,5C,8S,216,8D,AH,4C,9D,1
7H,4S,2C,QS,3S,185,QH,4H,KS,8H,1
AS,2C,8D,AD,JS,244,4D,QC,JD,TH,0
AH,9H,9S,6D,8H,171,4C,TD,TH,2D,0
4C,9H,9C,4D,AD,240,KC,8D,TS,5D,0
QH,6S,9C,JD,2C,287,KS,7D,AD,2H,0
4C,6D,8D,4D,KC,281,4S,JC,5D,5C,1
9S,3C,5S,9H,5D,210,KS,QS,TD,2S,1
AH,KS,JS,2S,TS,54,7C,5S,4S,QS,0
6C,6D,KD,JD,2C,58,4S,3D,9D,5H,0
QH,8C,2C,4C,9H,224,6D,4H,2D,5S,1
6D,TD,7D,8C,KS,271,7C,8H,2C,3S,1
3S,4D,KS,3H,9C,317,TC,9D,KD,2C,0
AS,3H,JS,3S,4C,279,6C,AC,QS,8S,0
7C,KC,TD,2D,AD,194,KS,8D,2C,4C,1
6C,JC,4C,4H,TS,82,9D,AS,5S,5H,0
KC,7H,KS,8C,2S,378,8H,QD,9S,4H,1
5H,AC,KC,8S,9H,247,AS,6D,4S,TD,1
KD,JS,4S,8D,9S,71,AH,3S,4C,9C,0
7S,KH,8D,4H,2C,35,2H,7H,5D,JH,1
